frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
264,N/A,N/A,0.224,982.185,0.913,N/A,N/A,0.191,1148.237
265,N/A,N/A,0.280,783.395,0.993,N/A,N/A,0.209,1051.042
266,N/A,N/A,0.269,816.269,0.928,N/A,N/A,0.156,1405.908
267,N/A,N/A,0.298,736.507,0.929,N/A,N/A,0.233,943.065
268,N/A,N/A,0.238,922.911,0.997,N/A,N/A,0.159,1384.645
269,N/A,N/A,0.283,775.170,0.922,N/A,N/A,0.180,1222.442
270,N/A,N/A,0.217,1012.602,0.922,N/A,N/A,0.158,1393.638
271,N/A,N/A,0.244,899.811,0.926,N/A,N/A,0.219,1001.525
272,N/A,N/A,0.226,970.387,0.942,N/A,N/A,0.181,1212.084
273,N/A,N/A,0.251,874.040,0.994,N/A,N/A,0.227,967.106
274,N/A,N/A,0.243,905.268,1.001,N/A,N/A,0.156,1406.772
275,N/A,N/A,0.267,822.823,1.018,N/A,N/A,0.157,1403.035
276,N/A,N/A,0.297,740.878,0.926,N/A,N/A,0.219,1001.817
277,N/A,N/A,0.242,907.301,0.935,N/A,N/A,0.183,1202.321
278,N/A,N/A,0.249,881.219,0.938,N/A,N/A,0.184,1194.166
279,N/A,N/A,0.266,824.502,0.969,N/A,N/A,0.249,883.259
280,N/A,N/A,0.212,1035.664,0.924,N/A,N/A,0.181,1214.442
281,N/A,N/A,0.263,835.742,0.920,N/A,N/A,0.225,977.849
282,N/A,N/A,0.220,996.872,0.928,N/A,N/A,0.221,993.555
283,N/A,N/A,0.262,837.781,0.924,N/A,N/A,0.235,936.122
284,N/A,N/A,0.266,825.791,0.991,N/A,N/A,0.158,1394.771
285,N/A,N/A,0.267,822.527,0.921,N/A,N/A,0.158,1393.355
286,N/A,N/A,0.249,883.941,1.003,N/A,N/A,0.156,1407.926
287,N/A,N/A,0.281,783.037,0.973,N/A,N/A,0.205,1073.722
288,N/A,N/A,0.235,935.739,0.950,N/A,N/A,0.230,953.807
289,N/A,N/A,0.272,809.056,0.919,N/A,N/A,0.181,1211.442
290,N/A,N/A,0.253,867.853,0.938,N/A,N/A,0.229,958.868
291,N/A,N/A,0.236,930.414,0.923,N/A,N/A,0.158,1393.355
292,N/A,N/A,0.249,880.879,0.978,N/A,N/A,0.181,1213.369
293,N/A,N/A,0.245,897.341,1.021,N/A,N/A,0.234,940.997
294,N/A,N/A,0.238,924.651,0.985,N/A,N/A,0.243,904.433
295,N/A,N/A,0.269,815.590,1.043,N/A,N/A,0.200,1100.746
296,N/A,N/A,0.293,750.268,0.950,N/A,N/A,0.157,1402.749
297,N/A,N/A,0.265,828.282,0.997,N/A,N/A,0.177,1239.880
298,N/A,N/A,0.221,995.138,0.917,N/A,N/A,0.180,1222.007
299,N/A,N/A,0.264,831.491,0.918,N/A,N/A,0.234,937.912
300,N/A,N/A,0.227,967.243,0.922,N/A,N/A,0.160,1373.566
301,N/A,N/A,0.270,815.203,0.914,N/A,N/A,0.156,1404.183
302,N/A,N/A,0.252,871.378,0.921,N/A,N/A,0.158,1391.097
303,N/A,N/A,0.226,974.242,0.937,N/A,N/A,0.187,1173.954
304,N/A,N/A,0.233,941.513,0.925,N/A,N/A,0.158,1386.882
305,N/A,N/A,0.224,980.502,0.968,N/A,N/A,0.160,1372.467
306,N/A,N/A,0.260,844.686,0.924,N/A,N/A,0.169,1299.973
307,N/A,N/A,0.234,937.912,0.921,N/A,N/A,0.182,1205.487
308,N/A,N/A,0.257,855.846,0.914,N/A,N/A,0.184,1193.751
309,N/A,N/A,0.252,871.488,1.018,N/A,N/A,0.183,1198.962
310,N/A,N/A,0.252,871.267,0.922,N/A,N/A,0.158,1392.225
311,N/A,N/A,0.261,840.653,0.931,N/A,N/A,0.196,1120.139
312,N/A,N/A,0.262,838.907,0.989,N/A,N/A,0.178,1234.752
